"","Item name","Number for sale","Price of item (cents)","Price of item (conventional format)","Name of Game"
"1","Mann Co. Supply Crate Key",2501,250,"$2.50","Team Fortress 2"
"2","Tour of Duty Ticket",2298,105,"$1.05","Team Fortress 2"
"3","Bill's Hat",639,463,"$4.63","Team Fortress 2"
"4","Blue Moon Cosmetic Key",80,272,"$2.72","Team Fortress 2"
"5","Name Tag",312,97,"$0.97","Team Fortress 2"
"6","Civilian Grade Stat Clock",226,105,"$1.05","Team Fortress 2"
"7","Earbuds",295,525,"$5.25","Team Fortress 2"
"8","Infernal Reward War Paint Case",2842,23,"$0.23","Team Fortress 2"
"9","Civic Duty Mk.II War Paint (Factory New)",113,19,"$0.19","Team Fortress 2"
"10","Mann Co. Director's Cut Reel",130,108,"$1.08","Team Fortress 2"
"11","Assassin's Attire",107,63,"$0.63","Team Fortress 2"
"12","Summer Shades",645,97,"$0.97","Team Fortress 2"
"13","Genuine AWPer Hand",262,211,"$2.11","Team Fortress 2"
"14","Fancy Fedora",345,94,"$0.94","Team Fortress 2"
"15","Down Tundra Coat",196,41,"$0.41","Team Fortress 2"
"16","The Hot Case",64,98,"$0.98","Team Fortress 2"
"17","Airborne Attire",225,95,"$0.95","Team Fortress 2"
"18","Confidential Collection Case",872,30,"$0.30","Team Fortress 2"
"19","Winter 2017 War Paint Case",12625,20,"$0.20","Team Fortress 2"
"20","Blue Moon Cosmetic Case",38290,3,"$0.03","Team Fortress 2"
"21","Wipe Out Wraps",194,69,"$0.69","Team Fortress 2"
"22","Reinforced Robot Humor Suppression Pump",13947,3,"$0.03","Team Fortress 2"
"23","Battle-Worn Robot Money Furnace",2385,7,"$0.07","Team Fortress 2"
"24","Battle-Worn Robot KB-808",2756,7,"$0.07","Team Fortress 2"
"25","A Deep Commitment to Purple",163,108,"$1.08","Team Fortress 2"
"26","Mann Co. Store Package",2891,26,"$0.26","Team Fortress 2"
"27","Battle-Worn Robot Taunt Processor",2673,7,"$0.07","Team Fortress 2"
"28","Speedster's Spandex",206,24,"$0.24","Team Fortress 2"
"29","The Classy Capper",335,39,"$0.39","Team Fortress 2"
"30","Tsar Platinum",197,72,"$0.72","Team Fortress 2"
"31","Antarctic Eyewear",66,29,"$0.29","Team Fortress 2"
"32","Final Frontiersman",214,28,"$0.28","Team Fortress 2"
"33","Coldfront Commander",382,70,"$0.70","Team Fortress 2"
"34","The Caribou Companion",199,24,"$0.24","Team Fortress 2"
"35","Strange Sniper Rifle",191,70,"$0.70","Team Fortress 2"
"36","Hot Heels",97,64,"$0.64","Team Fortress 2"
"37","Quarantined Collection Case",691,52,"$0.52","Team Fortress 2"
"38","Sky High Fly Guy",193,20,"$0.20","Team Fortress 2"
"39","Haunted Voodoo-Cursed Demoman Soul",133,60,"$0.60","Team Fortress 2"
"40","Decal Tool",242,23,"$0.23","Team Fortress 2"
"41","Strange Count Transfer Tool",1265,11,"$0.11","Team Fortress 2"
"42","Strange Carbonado Botkiller Flame Thrower Mk.I",110,46,"$0.46","Team Fortress 2"
"43","Strange Silver Botkiller Flame Thrower Mk.II",110,47,"$0.47","Team Fortress 2"
"44","Packable Provisions",98,46,"$0.46","Team Fortress 2"
"45","Flakcatcher",176,29,"$0.29","Team Fortress 2"
"46","Jungle Jackpot War Paint Case",5022,7,"$0.07","Team Fortress 2"
"47","Nutcracker Flame Thrower (Field-Tested)",112,10,"$0.10","Team Fortress 2"
"48","Genuine Ham Shank",189,31,"$0.31","Team Fortress 2"
"49","Strange Pistol",125,34,"$0.34","Team Fortress 2"
"50","Vintage Ambassador",1143,11,"$0.11","Team Fortress 2"
"51","Strange Pretty Boy's Pocket Pistol",144,30,"$0.30","Team Fortress 2"
"52","Vintage Pyrovision Goggles",1042,13,"$0.13","Team Fortress 2"
"53","Enchantment: Eternaween",981,7,"$0.07","Team Fortress 2"
"54","Blast Blocker",107,30,"$0.30","Team Fortress 2"
"55","Genuine King of Scotland Cape",301,26,"$0.26","Team Fortress 2"
"56","Genuine Distinguished Rogue",1179,25,"$0.25","Team Fortress 2"
"57","Brass Bucket",197,21,"$0.21","Team Fortress 2"
"58","Polar Bear",252,21,"$0.21","Team Fortress 2"
"59","Genuine Menpo",633,25,"$0.25","Team Fortress 2"
"60","Creepy Crawly Case",1729,11,"$0.11","Team Fortress 2"
"61","Strange Stickybomb Launcher",268,24,"$0.24","Team Fortress 2"
"62","Night Owl Sniper Rifle (Minimal Wear)",79,23,"$0.23","Team Fortress 2"
"63","Civic Duty Mk.II War Paint (Well-Worn)",271,7,"$0.07","Team Fortress 2"
"64","Vintage Huntsman",1551,11,"$0.11","Team Fortress 2"
"65","The Graylien",199,24,"$0.24","Team Fortress 2"
"66","Secret Saxton",30115,11,"$0.11","Team Fortress 2"
"67","Pocket Santa",149,21,"$0.21","Team Fortress 2"
"68","Autumn Mk.II War Paint (Battle Scarred)",58,18,"$0.18","Team Fortress 2"
"69","Coffin Nail Grenade Launcher (Field-Tested)",51,18,"$0.18","Team Fortress 2"
"70","Autumn Mk.II War Paint (Field-Tested)",93,18,"$0.18","Team Fortress 2"
"71","The Pithy Professional",233,23,"$0.23","Team Fortress 2"
"72","Cardboard Boxed War Paint (Field-Tested)",43,18,"$0.18","Team Fortress 2"
"73","Mann Co. Supply Munition Series #83",1450,13,"$0.13","Team Fortress 2"
"74","Vintage Cloak and Dagger",800,13,"$0.13","Team Fortress 2"
"75","Vintage Sandman",2103,9,"$0.09","Team Fortress 2"
"76","Vintage Force-A-Nature",1321,11,"$0.11","Team Fortress 2"
"77","Vintage Sandvich",1049,10,"$0.10","Team Fortress 2"
"78","Reinforced Robot Emotion Detector",14722,3,"$0.03","Team Fortress 2"
"79","Vintage Flare Gun",3044,8,"$0.08","Team Fortress 2"
"80","Vintage Ubersaw",2444,8,"$0.08","Team Fortress 2"
"81","Winter 2017 Cosmetic Case",131581,3,"$0.03","Team Fortress 2"
"82","Giftapult",3533,3,"$0.03","Team Fortress 2"
"83","Reinforced Robot Bomb Stabilizer",13784,3,"$0.03","Team Fortress 2"
"84","Mann Co. Supply Crate Series #57",26874,3,"$0.03","Team Fortress 2"
"85","Mann Co. Supply Crate Series #56",19058,3,"$0.03","Team Fortress 2"
"86","Abominable Cosmetic Case",73691,3,"$0.03","Team Fortress 2"
"87","Unleash the Beast Cosmetic Case",72768,3,"$0.03","Team Fortress 2"
"88","Rainy Day Cosmetic Case",197018,3,"$0.03","Team Fortress 2"
"89","Mann Co. Supply Munition Series #92",176955,3,"$0.03","Team Fortress 2"
"90","Strange Shahanshah",87,23,"$0.23","Team Fortress 2"
"91","Strange Wrangler",47,42,"$0.42","Team Fortress 2"
"92","Low Profile SMG (Minimal Wear)",71,18,"$0.18","Team Fortress 2"
"93","The C.A.P.P.E.R",43,568,"$5.68","Team Fortress 2"
"94","The Space Diver",178,62,"$0.62","Team Fortress 2"
"95","Strange Space Diver",102,99,"$0.99","Team Fortress 2"
"96","Phobos Filter",203,27,"$0.27","Team Fortress 2"
"97","Commissar's Coat",62,98,"$0.98","Team Fortress 2"
"98","Flak Jack",224,70,"$0.70","Team Fortress 2"
"99","Strange Prehistoric Pullover",26,270,"$2.70","Team Fortress 2"
"100","Strange Fists of Steel",190,20,"$0.20","Team Fortress 2"
"101","Strange Jarate",342,19,"$0.19","Team Fortress 2"
"102","Strange Flying Guillotine",301,24,"$0.24","Team Fortress 2"
"103","Festive Revolver",81,59,"$0.59","Team Fortress 2"
"104","Mutated Milk",94,105,"$1.05","Team Fortress 2"
"105","Mann Co. Audition Reel",243,117,"$1.17","Team Fortress 2"
"106","Field Practice",179,29,"$0.29","Team Fortress 2"
"107","The Festivizer",352,291,"$2.91","Team Fortress 2"
"108","Shin Shredders",62,69,"$0.69","Team Fortress 2"
"109","Patriot's Pouches",155,64,"$0.64","Team Fortress 2"
"110","Unlocked Cosmetic Crate Multi-Class",253,271,"$2.71","Team Fortress 2"
"111","Merc Stained War Paint (Field-Tested)",42,18,"$0.18","Team Fortress 2"
"112","The Nuke",39,54,"$0.54","Team Fortress 2"
"113","Quack Canvassed War Paint (Well-Worn)",19,18,"$0.18","Team Fortress 2"
"114","The Most Dangerous Mane",218,32,"$0.32","Team Fortress 2"
"115","Siberian Tigerstripe",288,93,"$0.93","Team Fortress 2"
"116","The Conspicuous Camouflage",30,119,"$1.19","Team Fortress 2"
"117","Sax Waxed Rocket Launcher (Field-Tested)",9,51,"$0.51","Team Fortress 2"
"118","Civic Duty Mk.II War Paint (Field-Tested)",608,7,"$0.07","Team Fortress 2"
"119","Civil Servant Mk.II War Paint (Field-Tested)",447,7,"$0.07","Team Fortress 2"
"120","Civil Servant Mk.II War Paint (Well-Worn)",304,7,"$0.07","Team Fortress 2"
"121","Civil Servant Mk.II War Paint (Minimal Wear)",332,9,"$0.09","Team Fortress 2"
"122","Deity's Dress",252,36,"$0.36","Team Fortress 2"
"123","Pristine Robot Brainstorm Bulb",148,10,"$0.10","Team Fortress 2"
"124","Pristine Robot Currency Digester",335,9,"$0.09","Team Fortress 2"
"125","Strange Medi Gun",141,31,"$0.31","Team Fortress 2"
"126","Vintage Buff Banner",1176,8,"$0.08","Team Fortress 2"
"127","Vintage Wrangler",246,15,"$0.15","Team Fortress 2"
"128","Strange Silver Botkiller Wrench Mk.II",133,69,"$0.69","Team Fortress 2"
"129","Vintage Direct Hit",573,11,"$0.11","Team Fortress 2"
"130","Strange Carbonado Botkiller Medi Gun Mk.I",86,43,"$0.43","Team Fortress 2"
"131","Vintage Dead Ringer",491,19,"$0.19","Team Fortress 2"
"132","Vintage Eyelander",460,12,"$0.12","Team Fortress 2"
"133","Strange Carbonado Botkiller Minigun Mk.I",116,47,"$0.47","Team Fortress 2"
"134","Strange Rust Botkiller Sniper Rifle Mk.I",108,69,"$0.69","Team Fortress 2"
"135","Vintage Natascha",2449,8,"$0.08","Team Fortress 2"
"136","Festive Stickybomb Launcher",93,157,"$1.57","Team Fortress 2"
"137","Genuine K-9 Mane",553,24,"$0.24","Team Fortress 2"
"138","Genuine Dragonborn Helmet",129,258,"$2.58","Team Fortress 2"
"139","Description Tag",1360,13,"$0.13","Team Fortress 2"
"140","Festive Eyelander",128,84,"$0.84","Team Fortress 2"
"141","Strange Flame Thrower",269,31,"$0.31","Team Fortress 2"
"142","Professional Killstreak Ubersaw Kit Fabricator",29,195,"$1.95","Team Fortress 2"
"143","Pocket Yeti",164,21,"$0.21","Team Fortress 2"
"144","Trucker's Topper",185,23,"$0.23","Team Fortress 2"
"145","Strange Plaid Potshotter Mk.II War Paint (Factory New)",7,1589,"$15.89","Team Fortress 2"
"146","Hazard Warning War Paint (Field-Tested)",19,21,"$0.21","Team Fortress 2"
"147","Aristotle",58,58,"$0.58","Team Fortress 2"
"148","The Tundra Top",320,23,"$0.23","Team Fortress 2"
"149","The Burning Question",22,93,"$0.93","Team Fortress 2"
"150","The Head Hedge",235,23,"$0.23","Team Fortress 2"
"151","Strange Tundra Top",28,55,"$0.55","Team Fortress 2"
"152","The Cat's Pajamas",31,409,"$4.09","Team Fortress 2"
"153","Strange Festivized Knife",8,386,"$3.86","Team Fortress 2"
"154","The Handsome Hitman",44,106,"$1.06","Team Fortress 2"
"155","The Sinner's Shade",141,23,"$0.23","Team Fortress 2"
"156","Wild West Whiskers",312,32,"$0.32","Team Fortress 2"
"157","Burning Beanie",200,29,"$0.29","Team Fortress 2"
"158","Strange Specialized Killstreak Degreaser",53,269,"$2.69","Team Fortress 2"
"159","Strange Specialized Killstreak Powerjack",16,158,"$1.58","Team Fortress 2"
"160","Killstreak Machina",143,49,"$0.49","Team Fortress 2"
"161","Killstreak Huntsman",50,48,"$0.48","Team Fortress 2"
"162","Strange Specialized Killstreak Baby Face's Blaster",28,109,"$1.09","Team Fortress 2"
"163","Strange Scattergun",186,85,"$0.85","Team Fortress 2"
"164","Strange Rocket Launcher",185,76,"$0.76","Team Fortress 2"
"165","Strange Grenade Launcher",158,51,"$0.51","Team Fortress 2"
"166","Strange Killstreak Sniper Rifle",112,121,"$1.21","Team Fortress 2"
"167","Strange Ambassador",162,42,"$0.42","Team Fortress 2"
"168","Strange Knife",134,63,"$0.63","Team Fortress 2"
"169","Festive Black Box",327,63,"$0.63","Team Fortress 2"
"170","Strange Killstreak Silver Botkiller Rocket Launcher Mk.I",27,141,"$1.41","Team Fortress 2"
"171","Strange Killstreak Grenade Launcher",29,260,"$2.60","Team Fortress 2"
"172","Color No. 216-190-216",84,93,"$0.93","Team Fortress 2"
"173","An Extraordinary Abundance of Tinge",379,499,"$4.99","Team Fortress 2"
"174","Genuine Short Circuit",29,86,"$0.86","Team Fortress 2"
"175","Genuine Purity Fist",173,106,"$1.06","Team Fortress 2"
"176","Genuine Stovepipe Sniper Shako",416,21,"$0.21","Team Fortress 2"
"177","The Festive Huntsman",105,120,"$1.20","Team Fortress 2"
"178","The Festive Ubersaw",116,69,"$0.69","Team Fortress 2"
"179","Genuine Anger",313,161,"$1.61","Team Fortress 2"
"180","Genuine Foppish Physician",865,23,"$0.23","Team Fortress 2"
"181","Vintage Equalizer",1816,8,"$0.08","Team Fortress 2"
"182","Vintage Fancy Fedora",160,178,"$1.78","Team Fortress 2"
"183","Festive Knife",83,207,"$2.07","Team Fortress 2"
"184","Strange Carbonado Botkiller Sniper Rifle Mk.I",142,65,"$0.65","Team Fortress 2"
"185","Strange Carbonado Botkiller Scattergun Mk.I",134,84,"$0.84","Team Fortress 2"
"186","Strange Carbonado Botkiller Stickybomb Launcher Mk.I",124,28,"$0.28","Team Fortress 2"
"187","Vintage Chargin' Targe",736,11,"$0.11","Team Fortress 2"
"188","Strange Carbonado Botkiller Rocket Launcher Mk.I",139,72,"$0.72","Team Fortress 2"
"189","Strange Silver Botkiller Rocket Launcher Mk.II",132,71,"$0.71","Team Fortress 2"
"190","Vintage Modest Pile of Hat",1,161,"$1.61","Team Fortress 2"
"191","Genuine Blind Justice",188,25,"$0.25","Team Fortress 2"
"192","Mann Co. Supply Crate Series #34",486,4,"$0.04","Team Fortress 2"
"193","Genuine Shred Alert",121,508,"$5.08","Team Fortress 2"
"194","Strange Specialized Killstreak Rocket Launcher",48,445,"$4.45","Team Fortress 2"
"195","Specialized Killstreak Wrap Assassin Kit Fabricator",300,3,"$0.03","Team Fortress 2"
"196","Strange Specialized Killstreak Direct Hit",9,225,"$2.25","Team Fortress 2"
"197","Strange Tomislav",92,106,"$1.06","Team Fortress 2"
"198","Killstreak Third Degree Kit",30,31,"$0.31","Team Fortress 2"
"199","Killstreak Claidheamh Mòr Kit",42,29,"$0.29","Team Fortress 2"
"200","Killstreak Sniper Rifle Kit",222,85,"$0.85","Team Fortress 2"
"201","Specialized Killstreak L'Etranger Kit Fabricator",113,4,"$0.04","Team Fortress 2"
"202","Unusual Cotton Head",27,5145,"$51.45","Team Fortress 2"
"203","Haunted Voodoo-Cursed Pyro Soul",138,92,"$0.92","Team Fortress 2"
"204","Genuine Crosslinker's Coil",391,23,"$0.23","Team Fortress 2"
"205","Genuine Tartan Shade",154,84,"$0.84","Team Fortress 2"
"206","Civic Duty Mk.II War Paint (Minimal Wear)",275,10,"$0.10","Team Fortress 2"
"207","Night Owl Mk.II War Paint (Factory New)",116,43,"$0.43","Team Fortress 2"
"208","Backwoods Boomstick Mk.II War Paint (Well-Worn)",12,19,"$0.19","Team Fortress 2"
"209","Forest Fire Mk.II War Paint (Battle Scarred)",19,18,"$0.18","Team Fortress 2"
"210","Plaid Potshotter Mk.II War Paint (Battle Scarred)",30,18,"$0.18","Team Fortress 2"
"211","Plaid Potshotter Mk.II Scattergun (Factory New)",31,29,"$0.29","Team Fortress 2"
"212","Strange Merc Stained War Paint (Field-Tested)",9,158,"$1.58","Team Fortress 2"
"213","Sharp Chest Pain",88,26,"$0.26","Team Fortress 2"
"214","The Shellmet",152,41,"$0.41","Team Fortress 2"
"215","The Cammy Jammies",64,51,"$0.51","Team Fortress 2"
"216","Vitals Vest",116,41,"$0.41","Team Fortress 2"
"217","Aloha Apparel",53,149,"$1.49","Team Fortress 2"
"218","Attack Packs",119,26,"$0.26","Team Fortress 2"
"219","Battle Boonie",97,21,"$0.21","Team Fortress 2"
"220","Civil Servant Mk.II Black Box (Field-Tested)",23,10,"$0.10","Team Fortress 2"
"221","Civic Duty Mk.II Soda Popper (Field-Tested)",67,10,"$0.10","Team Fortress 2"
