"","Open","High","Low","Close","date"
"1",68.68,69.550003,68.5,69.410004,2017-05-02
"2",69.709999,69.709999,69.129997,69.300003,2017-05-03
"3",69.379997,69.379997,68.709999,69.080002,2017-05-04
"4",69.029999,69.080002,68.639999,68.809998,2017-05-05
"5",68.900002,69.029999,68.489998,69,2017-05-06
"8",68.970001,69.050003,68.419998,68.940002,2017-05-09
"9",68.860001,69.279999,68.68,69.040001,2017-05-10
"10",68.989998,69.559998,68.919998,69.309998,2017-05-11
"11",68.360001,68.730003,68.120003,68.459999,2017-05-12
"12",68.610001,68.610001,68.040001,68.379997,2017-05-13
"15",68.139999,68.480003,67.57,68.43,2017-05-16
"16",68.230003,69.440002,68.160004,69.410004,2017-05-17
"17",68.889999,69.099998,67.43,67.480003,2017-05-18
"18",67.400002,68.129997,67.139999,67.709999,2017-05-19
"19",67.5,68.099998,67.43,67.690002,2017-05-20
"22",67.889999,68.5,67.5,68.449997,2017-05-23
"23",68.720001,68.75,68.379997,68.68,2017-05-24
"24",68.870003,68.879997,68.449997,68.769997,2017-05-25
"25",68.970001,69.879997,68.910004,69.620003,2017-05-26
"26",69.800003,70.220001,69.519997,69.959999,2017-05-27
"30",69.790001,70.410004,69.769997,70.410004,2017-05-31
"31",70.529999,70.739998,69.809998,69.839996,2017-06-01
"32",70.239998,70.610001,69.449997,70.099998,2017-06-02
"33",70.440002,71.860001,70.239998,71.760002,2017-06-03
"36",71.970001,72.889999,71.809998,72.279999,2017-06-06
"37",72.300003,72.620003,72.269997,72.519997,2017-06-07
"38",72.639999,72.769997,71.949997,72.389999,2017-06-08
"39",72.510002,72.519997,71.5,71.949997,2017-06-09
"40",72.040001,72.080002,68.589996,70.32,2017-06-10
"43",69.25,69.940002,68.129997,69.779999,2017-06-13
"44",70.019997,70.82,69.959999,70.650002,2017-06-14
"45",70.910004,71.099998,69.43,70.269997,2017-06-15
"46",69.269997,70.209999,68.800003,69.900002,2017-06-16
"47",69.730003,70.029999,69.220001,70,2017-06-17
"50",70.5,70.940002,70.349998,70.870003,2017-06-20
"51",70.82,70.870003,69.870003,69.910004,2017-06-21
"52",70.209999,70.620003,69.940002,70.269997,2017-06-22
"53",70.540001,70.589996,69.709999,70.260002,2017-06-23
"54",70.089996,71.25,69.919998,71.209999,2017-06-24
"57",71.400002,71.709999,70.440002,70.529999,2017-06-27
"58",70.110001,70.18,69.18,69.209999,2017-06-28
"59",69.209999,69.839996,68.790001,69.800003,2017-06-29
"60",69.379997,69.489998,68.089996,68.489998,2017-06-30
"61",68.779999,69.379997,68.739998,68.93,2017-07-01
"64",69.330002,69.599998,68.019997,68.169998,2017-07-04
"66",68.260002,69.440002,68.220001,69.080002,2017-07-06
"67",68.269997,68.779999,68.120003,68.57,2017-07-07
"68",68.699997,69.839996,68.699997,69.459999,2017-07-08
"71",69.459999,70.25,69.199997,69.980003,2017-07-11
"72",70,70.68,69.75,69.989998,2017-07-12
"73",70.690002,71.279999,70.550003,71.150002,2017-07-13
"74",71.5,72.040001,71.309998,71.769997,2017-07-14
"75",72.239998,73.269997,71.959999,72.779999,2017-07-15
"78",72.800003,73.449997,72.720001,73.349998,2017-07-18
"79",73.089996,73.389999,72.660004,73.300003,2017-07-19
"80",73.5,74.040001,73.449997,73.860001,2017-07-20
"81",74.18,74.300003,73.279999,74.220001,2017-07-21
"82",73.449997,74.290001,73.169998,73.790001,2017-07-22
"85",73.529999,73.75,73.129997,73.599998,2017-07-25
"86",73.800003,74.309998,73.5,74.190002,2017-07-26
"87",74.339996,74.379997,73.809998,74.050003,2017-07-27
"88",73.760002,74.419998,72.32,73.160004,2017-07-28
"89",72.669998,73.309998,72.540001,73.040001,2017-07-29
"92",73.300003,73.440002,72.410004,72.699997,2017-08-01
"93",73.099998,73.419998,72.489998,72.580002,2017-08-02
"94",72.550003,72.559998,71.440002,72.260002,2017-08-03
"95",72.190002,72.440002,71.849998,72.150002,2017-08-04
"96",72.400002,73.040001,72.239998,72.68,2017-08-05
"99",72.800003,72.900002,72.260002,72.400002,2017-08-08
"100",72.089996,73.129997,71.75,72.790001,2017-08-09
"101",72.25,72.510002,72.050003,72.470001,2017-08-10
"102",71.900002,72.190002,71.349998,71.410004,2017-08-11
"103",71.610001,72.699997,71.279999,72.5,2017-08-12
"106",73.059998,73.720001,72.949997,73.589996,2017-08-15
"107",73.589996,73.589996,73.040001,73.220001,2017-08-16
"108",73.339996,74.099998,73.169998,73.650002,2017-08-17
"109",73.580002,73.870003,72.400002,72.400002,2017-08-18
"110",72.269997,72.839996,71.93,72.489998,2017-08-19
"113",72.470001,72.480003,71.699997,72.150002,2017-08-22
"114",72.349998,73.239998,72.349998,73.160004,2017-08-23
"115",72.959999,73.150002,72.529999,72.720001,2017-08-24
"116",72.739998,72.860001,72.07,72.690002,2017-08-25
"117",72.860001,73.349998,72.480003,72.82,2017-08-26
"120",73.059998,73.089996,72.550003,72.830002,2017-08-29
"121",72.25,73.160004,72.050003,73.050003,2017-08-30
"122",73.010002,74.209999,72.830002,74.010002,2017-08-31
"123",74.029999,74.959999,73.800003,74.769997,2017-09-01
"124",74.709999,74.739998,73.639999,73.940002,2017-09-02
"128",73.339996,73.889999,72.980003,73.610001,2017-09-06
"129",73.739998,74.040001,73.349998,73.400002,2017-09-07
"130",73.68,74.599998,73.599998,74.339996,2017-09-08
"131",74.330002,74.440002,73.839996,73.980003,2017-09-09
"134",74.309998,74.940002,74.309998,74.760002,2017-09-12
"135",74.760002,75.239998,74.370003,74.68,2017-09-13
"136",74.93,75.230003,74.550003,75.209999,2017-09-14
"137",75,75.489998,74.519997,74.769997,2017-09-15
"138",74.830002,75.389999,74.07,75.309998,2017-09-16
"141",75.230003,75.970001,75.040001,75.160004,2017-09-19
"142",75.209999,75.709999,75.010002,75.440002,2017-09-20
"143",75.349998,75.550003,74.309998,74.940002,2017-09-21
"144",75.110001,75.239998,74.110001,74.209999,2017-09-22
"145",73.989998,74.510002,73.849998,74.410004,2017-09-23
"148",74.089996,74.25,72.919998,73.260002,2017-09-26
"149",73.669998,73.809998,72.989998,73.260002,2017-09-27
"150",73.550003,74.169998,73.169998,73.849998,2017-09-28
"151",73.540001,73.970001,73.309998,73.870003,2017-09-29
"152",73.940002,74.540001,73.879997,74.489998,2017-09-30
"155",74.709999,75.010002,74.300003,74.610001,2017-10-03
"156",74.669998,74.879997,74.190002,74.260002,2017-10-04
"157",74.089996,74.720001,73.709999,74.690002,2017-10-05
"158",75.220001,76.120003,74.959999,75.970001,2017-10-06
